id,age_limit,pegi_tags
552990,m,"Violence•| Mostly| realistic| setting•| Photo-realistic| depictionViolence| Against| Non-Humans•| Violence| is| often| depicted| from| a| distance•| Violence| is| rarely| depicted| close-up•| No| blood| and| goreLanguage•| Minor| profanities| (e.g.| ""damn"";| ""hell"")Interactive| Elements| Users| Interact| In-Game| Purchases"
594570,m,"Alcohol| Reference,| Blood,| Mild| Language,| Mild| Suggestive| Themes,| Violence"
578080,m,Violence| BloodUsers| Interact
286160,null,
719040,null,
952060,null,
413150,m,Fantasy| Violence| Mild| Blood| Mild| Language| Use| of| Alcohol| and| Tobacco| Simulated| Gambling
794260,null,
377160,m,"Blood| and| Gore,| Intense| Violence,| Strong| Language,| Use| of| Drugs"
946430,null,
242760,null,
291550,m,Fantasy| Violence
620980,null,
251570,null,
105600,null,
780290,null,
1089980,null,
435150,null,
1118010,m,Blood| Mild| Language| Use| of| Alcohol| Violence
648800,null,
550,null,
1091500,m,Blood| and| Gore| Intense| Violence| NudityStrong| Language| Strong| Sexual| Content| Use| of| Drugs| Use| of| Alcohol
546560,null,
304390,m,Blood| and| Gore| Intense| Violence
826630,null,
613100,null,
1225330,m,Interactive| Elements| In-Game| Purchases| Users| Interact
281990,m,Fantasy| Violence| Interactive| Elements| Users| Interact
703080,m,Mild| Blood| Mild| Violence| Crude| Humor
261550,null,
107410,m,Intense| Violence| BloodStrong| Language
782330,m,Blood| and| Gore| Intense| Violence| Interactive| Elements| Users| Interact
1213210,m,Blood| ViolenceMild| Language| Use| of| Alcohol| Use| of| Tobacco
1222140,m,"Blood,| Intense| Violence,| Partial| Nudity,| Sexual| Themes,| Strong| Language,| Use| of| Drugs"
292030,m,Blood| and| Gore| Intense| Violence| NudityStrong| Language| Strong| Sexual| Content| Use| of| Alcohol
4000,null,
1343612,null,
589290,null,
870780,m,Blood| Strong| Language| Violence
617290,m,Blood| Strong| Language| ViolenceInteractive| Elements| Users| Interact
905370,null,
1041320,null,
379430,m,"Blood| and| Gore,| Intense| Violence,| Nudity,| Strong| Language,| Strong| Sexual| Content,| Use| of| Alcohol"
218620,null,
779340,m,Violence| Interactive| Elements| Users| Interact
686810,null,
493520,null,
270880,null,
787860,null,
996580,m,Cartoon| Violence| Comic| Mischief
813780,m,Mild| Blood| Mild| Language| ViolenceInteractive| Elements| Users| Interact
284160,null,
228380,m,Mild| Lyrics| Mild| Violence
1222730,null,
594650,m,Blood| and| Gore| Violence
393380,null,
8500,m,Violence
1016870,m,Language| Sexual| Themes| Partial| Nudity| Use| of| Alcohol| and| Tobacco| ViolenceBlood
394360,null,
803330,m,Animated| Blood| Crude| Humor| Drug| Reference| LanguageSexual| Themes| Violence
1113000,m,Alcohol| Reference| Animated| Blood| LanguagePartial| Nudity| Sexual| Themes| Violence
883710,m,Blood| and| Gore| Intense| Violence| Strong| Language
1190460,null,
581320,null,
264710,m,Fantasy| Violence| Mild| Language
972660,m,Language| Use| of| Tobacco| Violent| References
739630,null,
812140,m,"Blood| and| Gore,| Intense| Violence,| Sexual| Themes,| Strong| Language,Interactive| elements:| In-Game| Purchases"
367500,m,"Blood| and| Gore,| Partial| Nudity,| Suggestive| Themes,| Violence"
971995,null,
970830,null,
640820,null,
1217060,null,
971999,null,
814380,m,Blood| and| Gore| Violence
200210,null,
518790,m,"Mild| Blood,| Violence"
444090,m,Violence
552500,null,
322330,null,
22380,m,Blood| and| Gore| Intense| Violence| Sexual| Content| Strong| Language| Use| of| Drugs
374320,m,Blood| Violence
266410,null,
239140,m,Blood| and| Gore| Intense| Violence| Strong| Language
1377380,null,
1239520,m,Mild| Lyrics| Interactive| Elements| Users| Interact| In-Game| Purchases| (Includes| Random| Items)
960090,null,
610370,m,Blood| Strong| Language| Suggestive| Themes| Violence
392110,m,Fantasy| Violence| Mild| Suggestive| Themes
223750,null,
858810,null,
466560,null,
361420,null,
1149640,null,
947510,m,Drug| Reference| LanguageMild| Violence| Suggestive| Themes
761890,null,
418370,m,Blood| and| Gore| Intense| Violence| Strong| Language
645630,null,
555160,null,
364360,m,"Mild| Blood,| Mild| Language,| Violence"
359320,m,Drug| Reference| Fantasy| Violence
433340,null,
962730,null,
1214420,m,Blood| Drug| Reference| Strong| Language| Violence
971924,null,
620,null,
601510,m,Fantasy| Violence| Mild| Blood| Suggestive| Themes
632470,null,
493340,m,Mild| Violence| Crude| Humor
244850,null,
219990,null,
1172380,m,"Mild| Language,| Violence"
1237950,null,
880940,null,
1089350,m,Mild| Language| Interactive| Elements| In-Game| Purchases| Users| Interact
1080110,null,
1054490,null,
236850,m,Drug| Reference| Mild| Language| Mild| Sexual| Themes| Mild| Violence
360430,m,Blood| and| Gore| Intense| Violence| NudityStrong| Language| Strong| Sexual| Content| Use| of| Drugs
573090,null,
678950,m,Cartoon| Violence| Mild| Language| Mild| Suggestive| Themes
9900,m,Blood| Violence
242050,m,Blood| Sexual| Themes| Strong| Language| Use| of| Alcohol| Violence
1205430,m,Blood| and| Gore| Sexual| Themes| Use| of| Alcohol| Violence
848450,null,
823500,null,
774861,null,
1237970,m,Blood| and| Gore| LanguageViolence
629730,null,
971998,null,
431240,m,Mild| Blood| Mild| Fantasy| Violence
570940,m,Violence| Blood| and| Gore| Partial| Nudity
49520,m,Blood| and| Gore| Intense| Violence| LanguageSexual| Themes| Use| of| Alcohol
971925,null,
1005300,m,Fantasy| Violence| Sexual| Themes| Crude| Humor| Drug| Reference| Language
444200,m,Mild| Violence
621060,null,
1258080,m,Violence| Mild| Blood| Crude| Humor| Interactive| Elements| Users| Interact| In-Game| Purchases
42700,m,Blood| and| Gore| Intense| Violence| Strong| Language
969990,m,Cartoon| Violence| Comic| Mischief
1151700,m,Intense| Violence| Blood
560130,m,Blood| and| Gore| NuditySexual| Themes| Strong| Language| Violence
8930,m,Drug| Reference| Mild| Language| Mild| Violence| Online| Interactions| and| Music| Downloads| Not| Rated| by| the| ESRB
513710,null,
386180,m,Violence
250900,null,
1362660,null,
203770,null,
1238810,m,Blood| Strong| Language| Violence
1090150,m,Blood| Language| Violence
323190,m,Blood| Mild| Sexual| Themes| Mild| Violence| Strong| Language
367520,m,Fantasy| Violence| Mild| Blood
745920,null,
434170,m,Violence| BloodSexual| Themes| Drug| Reference| Mild| Language
495420,m,Blood| &| Gore| Drug| Reference| Intense| Violence| Strong| Language
863550,m,Blood| Intense| Violence| Strong| Language| Use| of| Drugs| and| Alcohol| Users| Interact| In-Game| Purchases
223850,null,
1222680,m,Language| Mild| Violence
365360,null,
214950,null,
1259970,null,
109600,m,Fantasy| Violence| Mild| Language
206420,null,
648350,m,Mild| Blood| Violence
824270,null,
953490,null,
1353521,m,Fantasy| Violence
218230,m,Violence
815370,null,
24010,null,
1139900,m,"Blood| and| Gore,| Violence"
387990,null,
710920,m,Blood| and| Gore| LanguageViolence| Interactive| Elements| Users| Interact
1161580,null,
524220,m,Blood| Partial| Nudity| Strong| Language| Violence
202970,m,Blood| and| Gore| Intense| Violence| Strong| Language| Suggestive| Themes| Use| of| Drugs
774171,null,
244210,null,
508440,null,
651670,m,Fantasy| Violence| Mild| Blood| Mild| Language
22330,m,Blood| and| Gore| LanguageSexual| Themes| Use| of| Alcohol| Violence
232090,m,Blood| and| Gore| Intense| Violence| LanguagePartial| Nudity
342180,m,Intense| Violence| Blood| and| Gore| Drug| Reference| Strong| Language
627690,m,Violence| BloodMild| Language
1253920,null,
334230,null,
502500,m,Violence| Mild| Blood| LanguageUsers| Interact| In-Game| Purchases
1113410,m,Blood| Crude| Humor| Use| of| Alcohol| Violence
1344680,m,Blood| Strong| Language| ViolenceInteractive| Elements| Users| Interact
268500,m,Blood| Use| of| Tobacco| Violence
767560,null,
1238860,m,Blood| and| Gore| Intense| Violence| Strong| Language
895400,null,
1057090,m,Mild| Fantasy| Violence
645402,m,Drug| Reference| LanguageMild| Violence| Suggestive| Themes
536270,m,Violence| BloodPartial| Nudity
391540,null,
967050,null,
47890,m,Crude| Humor| Sexual| Themes| Violence
900883,m,Blood| and| Gore| LanguageSexual| Themes| Use| of| Alcohol| Violence
606280,m,Blood| and| Gore| Violence
477160,null,
10090,m,Blood| Strong| Language| Violence
851850,m,Mild| Language| Suggestive| Themes| ViolenceInteractive| Elements| In-Game| Purchases
799960,null,
1102190,null,
976310,m,Blood| and| Gore| Intense| Violence| Strong| Language| Users| Interact| In-Game| Purchases
221680,m,Mild| Fantasy| Violence| Mild| Lyrics| Music| Downloads| Not| Rated| by| the| ESRB
418460,null,
231430,m,Blood| and| Gore| Strong| Language| Intense| Violence
470220,null,
1299591,m,Violence| Interactive| Elements| Users| Interact
1408020,m,Blood| and| Gore| Intense| Violence| Strong| Language
728880,null,
459820,null,
588650,m,Violence| Blood| and| Gore| Language
581450,m,Blood| and| Gore| Drug| Reference| Intense| Violence| Strong| Language
55230,m,Blood| and| Gore| Drug| Reference| Intense| Violence| Partial| Nudity| Sexual| Content| Strong| Language
933820,null,
753640,m,Alcohol| Reference| Fantasy| Violence
646570,m,Fantasy| Violence| Use| of| Tobacco| Alcohol| Reference
356190,m,Blood| and| Gore| Intense| Violence
1194010,null,
916840,null,
958400,m,Alcohol| Reference| Interactive| Elements| Users| Interact
227300,null,
1030840,m,Blood| Intense| Violence| NuditySexual| Content| Strong| Language| Use| of| Drugs| Use| of| Alcohol
641320,null,
262060,m,Alcohol| Reference| Blood| and| Gore| Mild| Language| Partial| Nudity| Suggestive| Themes| Violence
457140,null,
1180660,m,Mild| Blood| Drug| Reference| Strong| Language| Violence
527230,null,
268910,m,Fantasy| Violence| Mild| Language| Use| of| Alcohol| And| Tobacco
798490,null,
601150,m,Blood| Partial| Nudity| Strong| Language| ViolenceIn-Game| Purchases
349040,m,"Blood,| Language,| Suggestive| Themes,| Violence"
1229490,null,
1087280,m,Interactive| Elements| In-Game| Purchases
1235721,m,Violence| Sexual| Themes| Crude| Humor
257420,m,Blood| and| Gore| Drug| Reference| Intense| Violence| Partial| Nudity| Strong| Language
674940,null,
611670,m,"Blood| and| Gore,| Intense| Violence,| Sexual| Themes,| Use| of| Alcohol"
310950,m,"Mild| Language,| Suggestive| Themes,| Violence| Online| Interactions| Not| Rated| by| the| ESRB"
274920,null,
1055810,null,
230290,null,
774461,m,Fantasy| Violence| Sexual| Themes| Drug| Reference| Mild| Language
403640,m,Blood| and| Gore| Intense| Violence| Strong| Language| Suggestive| Themes
1418980,null,
606880,null,
286690,null,
233860,null,
602960,null,
208650,m,Blood| LanguageSuggestive| Themes| Violence
611790,null,
220200,null,
8870,m,Blood| and| Gore| Intense| Violence| Language| Mild| Sexual| Themes| Use| of| Alcohol| and| Tobacco
877200,null,
750920,m,Blood| and| Gore| Intense| Violence| Strong| Language
805550,null,
285900,m,Cartoon| Violence.
731490,m,Cartoon| Violence| Comic| Mischief
1140001,m,Violent| References| Mild| Language
383980,m,Fantasy| Violence
1096900,null,
376210,null,
552520,m,Blood| and| Gore| Intense| Violence| Sexual| Themes| Strong| Language| Use| of| Drugs| and| Alcohol
637650,m,Language| Mild| Blood| Partial| Nudity| Violence
382310,null,
1146930,null,
567640,null,
1062160,null,
881100,null,
1030210,null,
566440,null,
453480,null,
1209470,null,
287390,null,
610180,m,Sexual| Themes| Drug| Reference| Mild| Language| Crude| Humor
637090,null,
1245150,m,Blood| Strong| Language| ViolenceInteractive| Elements| Users| Interact
1222690,m,Blood| Intense| Violence| NuditySexual| Content| Strong| Language
1349400,m,Mild| Blood| Mild| Violence| Crude| Humor
942290,null,
1089090,m,Language| Suggestive| Themes| Use| of| Alcohol| Use| of| Tobacco| ViolenceInteractive| Elements| In-Game| Purchases| Users| Interact
690830,null,
389730,m,Crude| Humor| Mild| Blood| Mild| Language| Suggestive| Themes| Violence
1139980,null,
266840,m,Blood| Violence
635260,null,
383120,null,
489630,null,
252690,null,
500,null,
454650,m,Cartoon| Violence| Mild| Blood| Mild| Language| Mild| Suggestive| Themes
1100600,null,
978780,m,Comic| Mischief| Suggestive| Themes| Use| of| Alcohol
1012790,null,
1106840,null,
1265640,null,
757320,null,
212500,m,Blood| and| Gore| Use| of| Alcohol| and| Tobacco| Violence
216150,null,
636480,null,
413410,null,
450540,null,
1009290,m,Blood| LanguageSuggestive| Themes| ViolenceInteractive| Elements| In-Game| Purchases| Users| Interact
379720,m,"Blood| and| Gore,| Intense| Violence,| Strong| Language"
690790,null,
617830,null,
788100,null,
965580,null,
656350,m,Alcohol| Reference| Fantasy| Violence
